mac_address,user_id,product_id,rank
de30078c-e089-47b9-84d9-6bc34e6e6d5c,,229,33
de30078c-e089-47b9-84d9-6bc34e6e6d5c,,618166,3
de30078c-e089-47b9-84d9-6bc34e6e6d5c,,280,4
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659586,13
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659592,13
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659527,35
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659567,7
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659591,9
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659587,8
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659539,32
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659522,29
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659528,30
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,673110,35
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659589,13
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659529,38
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659566,7
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659572,6
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659565,5
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659526,69
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659523,29
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659530,32
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659532,28
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659544,31
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659534,31
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659540,30
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659517,7
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659588,17
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659536,29
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659590,35
394e01b7-b9b1-4444-a8cb-b21b652db9dc,,659525,30
3e4f786a-9f09-441c-92a1-3ec29f3797b4,,280,14
3e4f786a-9f09-441c-92a1-3ec29f3797b4,,618166,16
3af8574f-0a3e-4115-8162-457ac417d9d7,,36,33
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,673206,38
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,604406,16
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,604400,50
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,668749,38
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,604401,17
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,493625,10
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,604388,51
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,604423,2
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,673205,38
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,604491,17
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,604390,1404
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,673204,39
dc38d466-9761-42d3-8b78-e4207c3fe7bb,,604391,40
c5ba20e4-8eca-465e-88bf-e2f624dcbfab,,660277,15
c5ba20e4-8eca-465e-88bf-e2f624dcbfab,,660222,33
4C73605C-A796-422B-9410-7A7EDF33544B,,648508,9
4C73605C-A796-422B-9410-7A7EDF33544B,,643137,7
4C73605C-A796-422B-9410-7A7EDF33544B,,643276,29
4d466146-3bc7-49d9-86cb-9d4904f93fb2,,112,10
4d466146-3bc7-49d9-86cb-9d4904f93fb2,,97,16
9716ef01-4459-4888-b560-71fa7f5054de,,661605,640
9716ef01-4459-4888-b560-71fa7f5054de,,645595,31
8bcc9945-ebe7-4a33-bd03-ed280ff67d44,,660277,153
8bcc9945-ebe7-4a33-bd03-ed280ff67d44,,660313,168
8bcc9945-ebe7-4a33-bd03-ed280ff67d44,,660310,135
8bcc9945-ebe7-4a33-bd03-ed280ff67d44,,660274,115
TP1A.220624.014,7174,642428,11
TP1A.220624.014,7174,639647,3
f6ce58f5-d288-4994-8189-5b363e48f451,,661607,7
f6ce58f5-d288-4994-8189-5b363e48f451,,670843,6
f1471bfb-4cdd-44cc-85ed-d02ca0f5cdd2,,7543,14
8f76d5c2-3a65-488b-8d3d-dcc131dc408b,,661299,3
def22cb8-9487-4663-9180-3cee10713d33,,228,3
def22cb8-9487-4663-9180-3cee10713d33,,83,28
def22cb8-9487-4663-9180-3cee10713d33,,653771,10
def22cb8-9487-4663-9180-3cee10713d33,,84,11
aa25d1b3-55aa-4e67-9ff4-c5a460216f3a,,673134,33
aa25d1b3-55aa-4e67-9ff4-c5a460216f3a,,659517,31
aa25d1b3-55aa-4e67-9ff4-c5a460216f3a,,661120,6
aa25d1b3-55aa-4e67-9ff4-c5a460216f3a,,661123,33
aa25d1b3-55aa-4e67-9ff4-c5a460216f3a,,661114,33
